filename	ind1	ind2	sample	evaluation 1	evaluation 2	agreement	superannotator
http://www.jstor.org/stable/3341130	17	24	This hypothesis does not fit with our finding that the 1968 results were as supportive of the contact-liking hypotheses as the 1984 data.			TRUE	
http://www.jstor.org/stable/24371957	13	22	By disaggregating our analysis to individual policy domains within individual countries as much as the available data allow, we seek to give the full est test to the partisan hypothesis, not assuming that parties consistently fit into a single ideological framework across all countries.	?	N	FALSE	N
http://www.jstor.org/stable/193500	14	1	This last diversity is especially striking, ranging from ITT, which imposed its will on a reluctant government, to Standard Oil, which was expropriated.57 Goodsell concludes that there are particular cases which fit the imperialist hypothesis he began with, and suggests that it is thus partially supported.			TRUE	
http://www.jstor.org/stable/44736676	5	19	At the 5 percent level of significance, the chi-square goodness-of-fit test rejects the hypothesis that the collected data have mode percentages statistically similar to the J1 088 weight factors.		N	FALSE	N
http://www.jstor.org/stable/352768	10	6	As was suggested in our fourth hypothesis and supported by the difference of fit in our models, moves to marriage are far more predictable than moves to independent living.		N	FALSE	N
http://www.jstor.org/stable/26158714	2	5	(2007) and Mion and Naticchioni (2009), who also use wage regressions and micro-level data to examine the hypothesis that matching improves with agglomeration.	?	N	FALSE	N
http://www.jstor.org/stable/41422669	12	25	However, I do not wish to leave the reader with the impression that either line of evidence is erected to support the other, but both together form a hypothesis fit to be tested with studies of other genera.	?	N	FALSE	N
http://www.jstor.org/stable/23734081	7	13	In bumblebees it perhaps amongst the core species in the species pool, does not because there is no great change in re- Indeed, the three core species present in each of source availability or dimensionality of the niche the seven regions studied here (Table 2) fit exactly space influencing coexistence of abundant (core) Heinrich's hypothesis, and if all the species species in the same community.			TRUE	
http://www.jstor.org/stable/1449800	1	8	For example, among practicing physicians reasoning about a study-patient's case, not only were those in the positive-affect condition more readily able to integrate the elements of the case to see the correct domain of the illness, but they were significantly less likely than con- trols to distort or ignore information that did not fit with a preliminary hypothesis they were considering (Estrada, Isen, & Young, 1997).	N		FALSE	
http://www.jstor.org/stable/40239164	29	6	Taking into account the size of the sample and the number of the explanatory variables used, it tests the overall "goodness of fit" of the whole regression by testing the null hypothesis that, assuming a random sample, the multiple (that is, total sum) correlation in the population is "really" zero.	N		FALSE	
http://www.jstor.org/stable/43079874	4	20	Conversely, Patacchini and Zenou (2005) provide evidence favouring the spatial mis- match hypothesis in England.	?	N	FALSE	N
http://www.jstor.org/stable/23208580	4	13	An alternate and more fitting hypothesis suggests that this statuette initially formed part of a larger, multifigural ensemble situated prominently on a Renaissance banquet table.			TRUE	
http://www.jstor.org/stable/24704073	6	45	Thus, employing direct measurements of BMR in future studies may provide more accurate data to test the di rect metabolic constraints hypothesis.			TRUE	
http://www.jstor.org/stable/2978920	2	17	Although it seems quite reasonable that changes in rela- tive supplies might affect the term structure by changing expectations, it does not seem that this mechanism can really fit into the pure-expectations hypothesis.	N		FALSE	
http://www.jstor.org/stable/43260451	1	24	Some reflect agreement between all the resources on which I drew, that this was a crucial attribute ('coming up with worthwhile historical questions', 'assessing the best evidence to use in the enquiry') and others derive from personal observation of pupils weaknesses that seem to need addressing ('knowing how far to keep testing a hypothesis', 'using accurate language to reflect the strength of the claim they are making').	N	N	TRUE	
http://www.jstor.org/stable/10.1086/663823	0	189	According to the privileged-window hypothesis, the enhancement of predictive accuracy that trusting one’s feelings produces results from an ability to tap into meta-summaries of one’s tacit knowledge about the prediction domain.	N		FALSE	N
http://www.jstor.org/stable/40722720	4	20	The question for the technology-induced skill-mis- match hypothesis is: Why would the use of new work- place technologies cause a sharp skill-restructuring between 1980 and 1982 but not between 1983 and 1992, when the latter period was characterized by a far higher rate of investment in computer-based equipment?"	?	N	FALSE	N
http://www.jstor.org/stable/40961585	13	9	To begin to examine this fit hypothesis, we include interactions between teachers and students on race and academic achievement.	?	?	TRUE	
http://www.jstor.org/stable/41062436	6	121	When increased confidence yields increased thought: A confidence-matching hypothesis.	N	N	TRUE	
http://www.jstor.org/stable/25082769	0	8	One test cross produced results which fit this hypothesis.			TRUE	
http://www.jstor.org/stable/3150471	9	16	A satisfactory fit of the model lends strong support to the proposed hypothesis.			TRUE	
http://www.jstor.org/stable/3450354	2	10	Under the assumption that y, = Y2 = 0, we fit the model under the null hypothesis that P, = 0 (i.e., that the rate of introductions has been constant).	N	N	TRUE	
http://www.jstor.org/stable/2012404	1	35	The investigator concludes that the case shows the utility of Freud's hypothesis but does not demonstrate its com- plete accuracy.			TRUE	
http://www.jstor.org/stable/3247790	7	19	Although anis appeared to fit the first hypothesis** better, the yuhina seemed to fit** the second hypothesis, in the sense that a fe- male's breeding status paralleled its mate's status over many years, even when group composition changed.			TRUE	
http://www.jstor.org/stable/2230439	7	10	The cases of Mexico (1955-65), West Germany (1955-65) and Japan (1951-65) -with relatively higher increases in mean earnings; and those of the United States (1948-60), Costa Rica, Ghana (1960-65) and Kenya with relatively smaller increases in mean earnings also fit in our suggested hypothesis.			TRUE	
http://www.jstor.org/stable/522665	6	0	OCCUPATIONAL MATCHING AND SOCIAL STRATIFICATION Hypothesis** 6: the differences between female and male fit** rates should be smaller in the East.	?	N	FALSE	N
http://www.jstor.org/stable/1907804	1	14	The hypothesis could be tested more accurately from estimates of the production functions involved and from time series for individual firms if this type of data were available.			TRUE	
http://www.jstor.org/stable/45049458	12	9	Recent studies supporting the match- ing hypothesis indicate that some types of support may be more helpful than others.13-26 27 Who is providing support may be as important as the type of support provided in considering an optimal match.	N	N	TRUE	
http://www.jstor.org/stable/41271027	6	40	In other words, if the sample value is found to be greater than or equal to 64.8 percent (at least 130 accurate meters), the first hypothesis should be accepted.		N	FALSE	N
http://www.jstor.org/stable/4189236	11	14	(1990), "An Investigation into the 'Match-Up' Hypothesis in Celebrity Advertising, Journal of Advertising, 19 (1), 4-13.	N	N	TRUE	
http://www.jstor.org/stable/24039680	7	15	As a first approach to (2010) showed that the turgor loss point can be accurately verify this hypothesis, Cryo-SEM micrographs of tissue determined by the measurement of the frequency associated subjected to differential dehydration stages were obtained with the maximum transmittance.			TRUE	
http://www.jstor.org/stable/43296301	18	7	Although their explanation is rational and perhaps accurate, they did not formally test this hypothesis.	?		FALSE	
http://www.jstor.org/stable/10.1525/mp.2009.26.5.439	0	2	The hypothesis that timing accuracy is related to studies of sensory feedback during tapping tasks indi- sensory (tactile) information available at finger-key cate that tactile information plays an important role in contact was extended to clarinetists’ finger movements the control of timing.	N	N	TRUE	
http://www.jstor.org/stable/25835471	3	4	These data are consis tent with the hypothesis that women's accuracy in judging men's sexual orientation increases nearer peak ovulation because male sexual orientation is relevant to women's repro ductive success.			TRUE	
http://www.jstor.org/stable/4151345	6	5	(In the Hosmer and Lemeshow test, statistical significance indicates lack of fit between model and data by rejecting the null hypothesis that the two are identical.)"			TRUE	
http://www.jstor.org/stable/24702342	2	26	Regardless of how ß0 is defined, a factorial manipulation of multiple species that allows for estimation of ß0 is necessary, both to determine which species are selective agents and to accurately calculate a null hypothesis.			TRUE	
http://www.jstor.org/stable/1229284	8	1	This approach would be unfavorable to the general Cassell-Fowles position, since, as previ- ously noted, Cassell and Fowles report that they find no significant effect of Miranda on homicide clearance rates.42 Murder clearance rates showed a rather smooth decline from the late 1950s through the 1970s, with no evi- dence of a break in the series around 1966 that might be attributed to Miranda.43 Thus, we are left with the fact that the crime data are likely to be inaccurate in ways that would buttress the Cassell-Fowles hypothesis, and, when we look at the most accurate of the still-flawed data, no evidence of a Miranda effect can be found on murder clearance rates.44 This point, while perhaps decisive, is itself subject to criticism on the following ground: If Miranda did hamper police effectiveness, the negative consequences could have been masked as police resources were reallocated to homicide cases.			TRUE	
http://www.jstor.org/stable/1166077	128	1	pattern that did emerge fit our hypothesis clearly.	?	?	TRUE	
http://www.jstor.org/stable/25140650	1	6	Here we test the hypothesis that skeletochronology is an accurate, reliable meth od of age determination by sampling a popula tion of Arizona Tiger Salamanders, Ambystoma tigrinum nebulosum, of known age.			TRUE	
http://www.jstor.org/stable/23087297	3	19	Confirmation and matching biases in hypothesis testing.	N	N	TRUE	
http://www.jstor.org/stable/26222147	14	0	204 gerald r. webster & roberta h. webster Low income citizens would generally The fourth hypothesis pertained to the be expected to fit the traditionalist profile role of citizens in urban areas.	?	N	FALSE	N
http://www.jstor.org/stable/2293388	5	2	Therefore we.may make an empirical check on whether these data support this hypothesis by obtaining the line of best fit in the least square sense for a given pair of years and noting whether the slope is greater than unity.			TRUE	
http://www.jstor.org/stable/40675514	0	16	However, our results fail completely to fit their apsidal rota- tion hypothesis, and another interpretation of the variation in the times of minima is required.			TRUE	
http://www.jstor.org/stable/41377841	28	6	Let us denote as rt the fitted value of the consol yield over the period 1895-99 in his econometric equation (estimated outside the 1895-99 sample) linking the consol yield to the non-redeemable metropolitan stock, and the probability of redemption in our framework is given by: 2.75 ( ^ 2.75 IOO ' ? ( _ q ) v 2.75 f, H = « (I +RC1923J (I +RCi923tyJ ? ( _ q ) RC, Klovland's set up is simpler than ours because he does not have to deal with one rate up to the redemption date, and a different rate afterwards, and because he did not look for a conversion probability, since the non-conversion hypothesis (null probability) is enough to fit the data.		N	FALSE	N
http://www.jstor.org/stable/2347124	6	10	For each type of data and for each of the more reliable fitting methods considered earlier, the hypothesis was now tested that each set of X2 values had the x2 distribution with parameter y as defined above.		N	FALSE	N
http://www.jstor.org/stable/35469	0	20	The matter is discussed and it is shown that the accuracy of the Goldschmidt hypothesis can now be tested in much more detail by using the heterochromatin body in the larva as a prospective marker of chromosomal sex in the adult.			TRUE	
http://www.jstor.org/stable/2984796	16	17	They failed to consider the sampling fluctuations of their estimate but claimed to reject the Poisson hypothesis and to fit a hard-core model with r = 2R equal to 3-46 miles.		N	FALSE	N
http://www.jstor.org/stable/20159585	9	1	The change in chi-square test (A*2 = 150.3 Ad/=lp< .01) showed that the two-factor model provided a significantly better fit to the observed data, provid ing support for Hypothesis 1.		N	FALSE	N
http://www.jstor.org/stable/30110424	2	23	[56] also need careful interpretation for various reasons even though they may fit well in the hypothesis that bacteria susceptible to tetracy- clines or quinolones are involved in the etiology of acute MI (e.g., C. pneumoniae).			TRUE	
http://www.jstor.org/stable/310449	15	1	Most misinterpretations of such a nature should be detected by a method of collecting evidence similar to that here followed: on the reasonable hypothesis of a transliteration based upon accurate knowledge of fifth century forms ' they are more likely to have occurred and there- fore rather to be considered than orthographical mistakes arising either from an Atticising cEraXapaKtPrrlo0'Id or, in the confusions between q and et more probably, from a similarity of sound; for in estimating the evidence of the variants given below it must, of course, be borne in mind that during nearly all the period of transmission, while o and o and per- haps even ov have in point of pronunciation stood nearer together than E and -, yet an almost complete identity of sound favored interchange of - and Et.			TRUE	
http://www.jstor.org/stable/25535818	11	8	The rocks, 10 miles south of the Carna coast, would seem to fit a hypothesis of Hiberno-Scandinavian co-operation in maritime matters and a certain inter-communication of terms and geographical information.			TRUE	
http://www.jstor.org/stable/30193480	0	27	In general, this is a pretty hilarious hypothesis, and about as accurate as a pic- ture of a brutal zoo-keeper taking a vicious chomp at a cringing Bengal tiger.			TRUE	
http://www.jstor.org/stable/23786976	7	29	Multidimensional scaling by optimizing goodness of fit to a non-metric hypothesis.	N	N	TRUE	
http://www.jstor.org/stable/26225779	20	3	In addition to being descriptive one is to expect it to fit Hythloday's main hypothesis, which he has tested by studying the Utopi ans — that 'wherever you have private property, and money is the measure of all things, it is hardly ever possible for a commonwealth to be just or prosper ous' —and then be placed into a larger comparative framework.85 It is notable that Moras imagines himself as the author of such a work.86 By including historical peoples Hythloday does not rule out completely the usefulness of history as a comparative technique for social reflection.			TRUE	
http://www.jstor.org/stable/20461906	10	11	Another issue related to control of Type I errors is how close the sampling distribu tion of the item fit statistics under the null hypothesis is to the theoretical distribution.	N	N	TRUE	
