Sentence	ACCURACY MENTION?	comments	Normalized Ann1	Normalized Ann2	Consistent?	Decision		
The hypotheses of the paper must be clear and concise.	N				TRUE		279	
The hypothesis is tested separately for positive and negative information.	N				TRUE			
The first characterisation of this hypothesis needs to be carried out carefully in an intermediary in vivo mouse model.	N				TRUE			
Further experiments are required to explore this hypothesis .			Y	Y	TRUE	Y	requires testing	
Further investigations are needed to test this hypothesis .		 imho testing hypothesis appeals to accuracy by definition	Y	Y	TRUE	Y	requires testing	
Further studies to test this hypothesis are indicated.		 imho testing hypothesis appeals to accuracy by definition	Y	Y	TRUE	Y	testing - this is how I label contexts where the authors say they have/are going to test a hypothesis; coders, especially in the first half of the sample, pretty consistently evaluated such contexts as appeals to accuracy, which, I think, is debatable	
The state of saturation of the solutions towards the calcite will allow us to confirm this hypothesis .			Y	Y	TRUE	Y	testing	
To further test this hypothesis we devised the following benchmark.		 imho testing hypothesis appeals to accuracy by definition	Y	Y	TRUE	Y	testing	
This hypothesis is consistent with several results from environmental studies.			Y	Y	TRUE	Y	 	
A laboratory experiment was developed to test the hypotheses .	N			Y	FALSE	Y	testing	
More work is required to demonstrate the accuracy of this hypothesis .			Y	Y	TRUE	Y		
This hypothesis would explain the exceptional formation of foci in the bladder and prostate of males.			Y		FALSE	 		
But this hypothesis is usually invalid before the network grows to a certain size.			Y	Y	TRUE	Y		
The alternative hypotheses of the trace tests are stated in parentheses.	N				TRUE			
Further analyses are needed to confirm this last hypothesis .	?	confirmation is always with some accuracy	?	Y	FALSE	Y	requires testing	
These hypotheses were examined in two studies.		examination always presumes some level of accuracy	Y	Y	TRUE	Y	testing	
The context independence hypothesis was tested in two ways.		testing always presumes some level of accuracy	Y	Y	TRUE	Y	testing	
Results of the statistical hypothesis tests on segmentation errors.	?		?	Y	FALSE	 		
This hypothesis was further confirmed by the results of the measurement of protein flexibility.			Y	Y	TRUE	Y	testing	
Two hypotheses have been formulated and tested this problem through statistical techniques and validate the same.			Y	Y	TRUE	Y	testing	
We develop and test two hypotheses using our model and parameters based on published case studies.	N	model		Y	FALSE	Y	testing	
Further analysis is needed in order to definitely corroborate this hypothesis .		definite corrobaration implies some level of accuracy	Y	Y	TRUE	Y	testing	
The findings of the present study did not support this hypothesis .			Y	Y	TRUE	Y	testing	
Models representing the other hypotheses had very little support as illustrated by their large evidence ratios.			Y	Y	TRUE	 	testing	models are meant
A thorough analysis supporting these alternative hypotheses is detailed in the materials and methods.	N			Y	FALSE	Y	 	
This is a strong support of the hypothesis about the influence of the institutional setting.		what exactly?	Y	Y	TRUE	Y	 	
We have analyzed our hypothesis on the basis of entropy generated.	N				TRUE			
This result of this step was the design of research hypotheses .	N				TRUE			
We assessed these hypotheses using two levels of inquiry.	N			Y	FALSE	 	testing? 	but too vague
The neural criticality hypothesis is motivated by the relationship between criticality and optimal computational properties.	N				TRUE			
That is why the rest of the hypotheses cannot be rejected.	N			Y	FALSE	 		
The fourth hypothesis claims that the environmentally friendly products will gain popularity.	N				TRUE			
An alternative hypothesis to consider could be differential betaine sensitivity of cell clones.	N				TRUE			
We tested this hypothesis by inhibiting the kinases of both the modules.			Y	Y	TRUE	Y	testing	
To exclude some degenerated cases a hypothesis of weak reversibility is accepted.	N			Y	FALSE	 		
The present work investigated this hypothesis at both the gene and protein level.	N			Y	FALSE	 	too vague	
This analysis supports our hypothesis that heterotrophic bacteria are a more important source of phospholipid synthesis than phytoplankton.	?	chemical compounds analisis could suffice	?	Y	FALSE	Y		
These hypotheses heavily rely on assumptions of the evolutionary timeline of these enzymes that cannot be verified.	N				TRUE		testability	
Since the estimate of the index is greater than can be said of environmental pollution based on hypothesis were accurate.	N			Y	FALSE	?	ungrammatical	
This hypothesis is supported by the large numbers of outer membrane vesicles observed in the electron micrographs of filamentous cells.			Y	Y	TRUE	Y	 	
Results of checking of hypotheses about symmetry for both datasets are presented in Tables 3 and 4.	N			Y	FALSE	 		
In order to see the effectiveness of health educational program, the following research hypothesis was stated.	N				TRUE			
